"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A01|||NR21C4aF109P0002","NR21-NG-C4a-Cass-0010_A01","A01","A","01","SeedNursumuNR21C4aF109P0002-942-2","NR21C4aF109P0002","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A02|||NR21C4aF109P0010","NR21-NG-C4a-Cass-0010_A02","A02","A","02","SeedNursumuNR21C4aF109P0010-950-2","NR21C4aF109P0010","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A03|||NR21C4aF110P0010","NR21-NG-C4a-Cass-0010_A03","A03","A","03","SeedNursumuNR21C4aF110P0010-965-2","NR21C4aF110P0010","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A04|||NR21C4aF111P0002","NR21-NG-C4a-Cass-0010_A04","A04","A","04","SeedNursumuNR21C4aF111P0002-975-2","NR21C4aF111P0002","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A05|||NR21C4aF113P0002","NR21-NG-C4a-Cass-0010_A05","A05","A","05","SeedNursumuNR21C4aF113P0002-983-3","NR21C4aF113P0002","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A06|||NR21C4aF113P0010","NR21-NG-C4a-Cass-0010_A06","A06","A","06","SeedNursumuNR21C4aF113P0010-991-3","NR21C4aF113P0010","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A07|||NR21C4aF118P0003","NR21-NG-C4a-Cass-0010_A07","A07","A","07","SeedNursumuNR21C4aF118P0003-1001-3","NR21C4aF118P0003","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A08|||NR21C4aF120P0001","NR21-NG-C4a-Cass-0010_A08","A08","A","08","SeedNursumuNR21C4aF120P0001-1009-3","NR21C4aF120P0001","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A09|||NR21C4aF120P0009","NR21-NG-C4a-Cass-0010_A09","A09","A","09","SeedNursumuNR21C4aF120P0009-1017-3","NR21C4aF120P0009","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A10|||NR21C4aF120P0017","NR21-NG-C4a-Cass-0010_A10","A10","A","10","SeedNursumuNR21C4aF120P0017-1025-3","NR21C4aF120P0017","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A11|||NR21C4aF121P0004","NR21-NG-C4a-Cass-0010_A11","A11","A","11","SeedNursumuNR21C4aF121P0004-1034-3","NR21C4aF121P0004","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0010","1/28/2022","NR21-NG-C4a-Cass-0010_A12|||NR21C4aF122P0004","NR21-NG-C4a-Cass-0010_A12","A12","A","12","SeedNursumuNR21C4aF122P0004-1042-3","NR21C4aF122P0004","","PRINCESS","NR21-NG-C4-Cass-0010","leaf","NA","NA","NA","0"
