"GID","germplasmName","FullSampleName"
"NR050200:250107852","NR050200","NR050200:250107852"
"NR050266:250107847","NR050266","NR050266:250107847"
"NR050362:250107863","NR050362","NR050362:250107863"
"TMEB419:250253865","TMEB419","TMEB419:250253865"
"I30572:250253643","IITA-TMS-IBA30572","I30572:250253643"
"TMS419","TMS419",NA
"NR100011:250163983","NR100011","NR100011:250163983"
"NR100012:250134599","NR100012","NR100012:250134599"
"NR100013:250134741","NR100013","NR100013:250134741"
"NR100017:250134705","NR100017","NR100017:250134705"
"NR100018:250134501","NR100018","NR100018:250134501"
"NR100019:250134788","NR100019","NR100019:250134788"
"NR100022:250134739","NR100022","NR100022:250134739"
"NR100023:250134783","NR100023","NR100023:250134783"
"NR100024:250134715","NR100024","NR100024:250134715"
"NR100069:250134591","NR100069","NR100069:250134591"
"NR100070:250164011","NR100070","NR100070:250164011"
"NR100077:250399925","NR100077","NR100077:250399925"
"NR100079:250164003","NR100079","NR100079:250164003"
"NR100094:250163987","NR100094","NR100094:250163987"
"NR100105:250134651","NR100105","NR100105:250134651"
"NR100106:250134736","NR100106","NR100106:250134736"
"NR100116:250134795","NR100116","NR100116:250134795"
"NR100121","NR100121",NA
"NR100122:250134748","NR100122","NR100122:250134748"
"NR100126:250134765","NR100126","NR100126:250134765"
"NR100131:250164010","NR100131","NR100131:250164010"
"NR100145:250134728","NR100145","NR100145:250134728"
"NR100155:250134756","NR100155","NR100155:250134756"
"NR100156:250134762","NR100156","NR100156:250134762"
"NR100158:250164009","NR100158","NR100158:250164009"
"NR100168:250163985","NR100168","NR100168:250163985"
"NR100173:250134750","NR100173","NR100173:250134750"
"NR100185:250164014","NR100185","NR100185:250164014"
"NR100194:250164000","NR100194","NR100194:250164000"
"NR100196:250134725","NR100196","NR100196:250134725"
"NR100199:250134647","NR100199","NR100199:250134647"
"NR100201:250164013","NR100201","NR100201:250164013"
"NR100216:250134760","NR100216","NR100216:250134760"
"NR100222:250134784","NR100222","NR100222:250134784"
"NR100224:250164012","NR100224","NR100224:250164012"
"NR100225:250134635","NR100225","NR100225:250134635"
"NR100226:250134709","NR100226","NR100226:250134709"
"NR100230:250163994","NR100230","NR100230:250163994"
"NR100233:250399923","NR100233","NR100233:250399923"
"NR100238:250134663","NR100238","NR100238:250134663"
"NR100242:250163996","NR100242","NR100242:250163996"
"NR100243:250163993","NR100243","NR100243:250163993"
"NR100248:250163989","NR100248","NR100248:250163989"
"NR100249:250134724","NR100249","NR100249:250134724"
"NR100252:250134774","NR100252","NR100252:250134774"
"NR100265:250163986","NR100265","NR100265:250163986"
"NR100268:250134734","NR100268","NR100268:250134734"
"NR100269:250134716","NR100269","NR100269:250134716"
"NR100273:250164007","NR100273","NR100273:250164007"
"NR100287:250134787","NR100287","NR100287:250134787"
"NR100290:250134763","NR100290","NR100290:250134763"
"NR100291:250134726","NR100291","NR100291:250134726"
"NR100297:250134776","NR100297","NR100297:250134776"
"NR100298","NR100298",NA
"NR100299:250164008","NR100299","NR100299:250164008"
"NR100302:250164019","NR100302","NR100302:250164019"
"NR100306:250134792","NR100306","NR100306:250134792"
"NR100310:250134731","NR100310","NR100310:250134731"
"NR100312:250134755","NR100312","NR100312:250134755"
"NR100313:250134655","NR100313","NR100313:250134655"
"NR100321:250134746","NR100321","NR100321:250134746"
"NR100322:250134744","NR100322","NR100322:250134744"
"NR100323:250134747","NR100323","NR100323:250134747"
"NR100324:250134773","NR100324","NR100324:250134773"
"NR100325:250134717","NR100325","NR100325:250134717"
"NR100327:250134770","NR100327","NR100327:250134770"
"NR100329:250134485","NR100329","NR100329:250134485"
"NR100334:250164005","NR100334","NR100334:250164005"
"NR100354:250134752","NR100354","NR100354:250134752"
"NR100357:250134627","NR100357","NR100357:250134627"
"NR100372:250134757","NR100372","NR100372:250134757"
"NR100375:250134791","NR100375","NR100375:250134791"
"NR100401:250134772","NR100401","NR100401:250134772"
"NR100408:250134754","NR100408","NR100408:250134754"
"NR100410:250134722","NR100410","NR100410:250134722"
"NR100411:250399922","NR100411","NR100411:250399922"
"NR100412:250134615","NR100412","NR100412:250134615"
"NR100414:250134794","NR100414","NR100414:250134794"
"NR100417:250163998","NR100417","NR100417:250163998"
"NR100418:250134607","NR100418","NR100418:250134607"
"NR100420:250134749","NR100420","NR100420:250134749"
"NR100424:250134488","NR100424","NR100424:250134488"
"NR100429:250134671","NR100429","NR100429:250134671"
"NR100431:250134600","NR100431","NR100431:250134600"
"NR100432:250134742","NR100432","NR100432:250134742"
"NR100433:250163991","NR100433","NR100433:250163991"
"NR100435:250163984","NR100435","NR100435:250163984"
"NR100441:250134738","NR100441","NR100441:250134738"
"NR100449:250134758","NR100449","NR100449:250134758"
"NR100450:250163990","NR100450","NR100450:250163990"
"NR100451:250163999","NR100451","NR100451:250163999"
"NR100455:250164002","NR100455","NR100455:250164002"
"NR100462:250134796","NR100462","NR100462:250134796"
"NR100474:250163992","NR100474","NR100474:250163992"
"NR100486:250163997","NR100486","NR100486:250163997"
"NR100488","NR100488",NA
"NR100499:250134643","NR100499","NR100499:250134643"
"NR100501:250163988","NR100501","NR100501:250163988"
"CT100408","CT100408",NA
"CT100410","CT100410",NA
"CT100411","CT100411",NA
"CT100412","CT100412",NA
"CT100414","CT100414",NA
"CT100417","CT100417",NA
"CT100418","CT100418",NA
"CT100420","CT100420",NA
"NR100169","NR100169",NA
"NR100200","NR100200",NA
"AR124:250107818","AR124","AR124:250107818"
"AR1410:250399710","AR1410","AR1410:250399710"
"AR144:250107805","AR144","AR144:250107805"
"AR151","AR151",NA
"AR311:250134529","AR311","AR311:250134529"
"AR388","AR388",NA
"AR919","AR919",NA
"AR945:250107873","AR945","AR945:250107873"
"AR95:250107813","AR95","AR95:250107813"
"CR20A2:250107867","CR20A2","CR20A2:250107867"
"CR247:250134593","CR247","CR247:250134593"
"CR249:250134541","CR249","CR249:250134541"
"CR346:250134490","CR346","CR346:250134490"
"CR3510:250134475","CR3510","CR3510:250134475"
"CR3514:250134465","CR3514","CR3514:250134465"
"CR362:250134532","CR362","CR362:250134532"
"CR417:250134535","CR417","CR417:250134535"
"CR424:250134508","CR424","CR424:250134508"
"CR446:250134467","CR446","CR446:250134467"
"CR4510:250134460","CR4510","CR4510:250134460"
"CR492:250134476","CR492","CR492:250134476"
"CR52A26:250134519","CR52A26","CR52A26:250134519"
"CR52A2:250134482","CR52A2","CR52A2:250134482"
"CR52A31:250134530","CR52A31","CR52A31:250134530"
"CR52A36","CR52A36",NA
"CR52A37:250134452","CR52A37","CR52A37:250134452"
"CR52A4:250134509","CR52A4","CR52A4:250134509"
"CR52A6:250134466","CR52A6","CR52A6:250134466"
"CR52A9:250399763","CR52A9","CR52A9:250399763"
"CR533:250134489","CR533","CR533:250134489"
"CR594:250134544","CR594","CR594:250134544"
"CR59A3","CR59A3",NA
"CR8A22:250134516","CR8A22","CR8A22:250134516"
"LOCAL","LOCAL",NA
"NR8082:250134459","NR8082","NR8082:250134459"
"AR155:250134515","AR155","AR155:250134515"
"AR182:250134520","AR182","AR182:250134520"
"CR14B180","CR14B180",NA
"CR14B218:250107870","CR14B218","CR14B218:250107870"
"CR14B67:250134543","CR14B67","CR14B67:250134543"
"CR15B3:250107844","CR15B3","CR15B3:250107844"
"CR15B4:250107795","CR15B4","CR15B4:250107795"
"CR15B62:250107793","CR15B62","CR15B62:250107793"
"CR15B7:250107830","CR15B7","CR15B7:250107830"
"CR15B9","CR15B9",NA
"CR3913:250134456","CR3913","CR3913:250134456"
"CR60B10:250134512","CR60B10","CR60B10:250134512"
"CW45036:250107868","CW45036","CW45036:250107868"
"CW45046:250107796","CW45046","CW45046:250107796"
"CW45072:250107871","CW45072","CW45072:250107871"
"CW45075","CW45075",NA
"CW45113","CW45113",NA
"CW45133:250107872","CW45133","CW45133:250107872"
"CW45180:250107866","CW45180","CW45180:250107866"
"CW4529","CW4529",NA
"CW45617:250107782","CW45617","CW45617:250107782"
"CW48216:250107874","CW48216","CW48216:250107874"
"CW4823:250107826","CW4823","CW4823:250107826"
"CW48515:250134504","CW48515","CW48515:250134504"
"CW5251:250134472","CW5251","CW5251:250134472"
"NR010004:250107855","NR010004","NR010004:250107855"
"I9102324:250090766","IITA-TMS-IBA9102324","I9102324:250090766"
"I920057:250304492","IITA-TMS-IBA920057","I920057:250304492"
"I920067:250304490","IITA-TMS-IBA920067","I920067:250304490"
"I950289:250300577","IITA-TMS-IBA950289","I950289:250300577"
"I961632:250300546","IITA-TMS-IBA961632","I961632:250300546"
"TMS970057","TMS970057",NA
"I980505:250090767","IITA-TMS-IBA980505","I980505:250090767"
"I980510:250303662","IITA-TMS-IBA980510","I980510:250303662"
"I980581:250253626","IITA-TMS-IBA980581","I980581:250253626"
"NR060080:250107840","NR060080","NR060080:250107840"
"NR060117:250107802","NR060117","NR060117:250107802"
"NR060135:250107792","NR060135","NR060135:250107792"
"NR060153","NR060153",NA
"NR060169:250107790","NR060169","NR060169:250107790"
"NR060189:250107841","NR060189","NR060189:250107841"
"NR060242:250107839","NR060242","NR060242:250107839"
"NR060246:250107838","NR060246","NR060246:250107838"
"NR060287","NR060287",NA
"NR060333:250107787","NR060333","NR060333:250107787"
"NR060394","NR060394",NA
"NR090001","NR090001",NA
"NR090016","NR090016",NA
"NR090022:250107797","NR090022","NR090022:250107797"
"NR090026:250107780","NR090026","NR090026:250107780"
"NR090037:250399928","NR090037","NR090037:250399928"
"NR090040:250107781","NR090040","NR090040:250107781"
"NR090054:250134522","NR090054","NR090054:250134522"
"NR090068:250107806","NR090068","NR090068:250107806"
"NR090072:250107812","NR090072","NR090072:250107812"
"NR090074:250107798","NR090074","NR090074:250107798"
"NR090076:250107804","NR090076","NR090076:250107804"
"NR090077:250134537","NR090077","NR090077:250134537"
"NR090078:250107843","NR090078","NR090078:250107843"
"NR090080:250134523","NR090080","NR090080:250134523"
"NR090085:250107829","NR090085","NR090085:250107829"
"NR090088","NR090088",NA
"NR090115:250107785","NR090115","NR090115:250107785"
"NR090116:250107784","NR090116","NR090116:250107784"
"NR090119:250107786","NR090119","NR090119:250107786"
"NR090127:250107822","NR090127","NR090127:250107822"
"NR090128:250107789","NR090128","NR090128:250107789"
"NR090142","NR090142",NA
"NR090146:250107824","NR090146","NR090146:250107824"
"NR090150:250107811","NR090150","NR090150:250107811"
"NR090154","NR090154",NA
"NR090162:250107821","NR090162","NR090162:250107821"
"NR090165:250107823","NR090165","NR090165:250107823"
"NR090176:250107779","NR090176","NR090176:250107779"
"NR090182:250107820","NR090182","NR090182:250107820"
"NR090187:250107783","NR090187","NR090187:250107783"
"NR090190","NR090190",NA
"NR090191:250107803","NR090191","NR090191:250107803"
"NR090200:250107814","NR090200","NR090200:250107814"
"NR090206:250107836","NR090206","NR090206:250107836"
"NR090208","NR090208",NA
"NR090290:250107788","NR090290","NR090290:250107788"
"NR090310:250107828","NR090310","NR090310:250107828"
"NR090317:250107815","NR090317","NR090317:250107815"
"NR110001","NR110001",NA
"NR110002","NR110002",NA
"NR110003","NR110003",NA
"NR110004","NR110004",NA
"NR110005:250134616","NR110005","NR110005:250134616"
"NR110006","NR110006",NA
"NR110007","NR110007",NA
"NR110008","NR110008",NA
"NR110009:250134603","NR110009","NR110009:250134603"
"NR110010","NR110010",NA
"NR110011","NR110011",NA
"NR110012:250134658","NR110012","NR110012:250134658"
"NR110014:250134638","NR110014","NR110014:250134638"
"NR110015","NR110015",NA
"NR110016:250134662","NR110016","NR110016:250134662"
"NR110017:250134583","NR110017","NR110017:250134583"
"NR110018","NR110018",NA
"NR110020","NR110020",NA
"NR110021:250134463","NR110021","NR110021:250134463"
"NR110022","NR110022",NA
"NR110023","NR110023",NA
"NR110024","NR110024",NA
"NR110025:250134704","NR110025","NR110025:250134704"
"NR110026","NR110026",NA
"NR110027","NR110027",NA
"NR110028","NR110028",NA
"NR110029","NR110029",NA
"NR110030:250134595","NR110030","NR110030:250134595"
"NR110031:250163982","NR110031","NR110031:250163982"
"NR110032","NR110032",NA
"NR110033","NR110033",NA
"NR110034","NR110034",NA
"NR110035","NR110035",NA
"NR110036:250134586","NR110036","NR110036:250134586"
"NR110037","NR110037",NA
"NR110038","NR110038",NA
"NR110039","NR110039",NA
"NR110040","NR110040",NA
"NR110041","NR110041",NA
"NR110042","NR110042",NA
"NR110043:250134727","NR110043","NR110043:250134727"
"NR110044:250134798","NR110044","NR110044:250134798"
"NR110045","NR110045",NA
"NR110046","NR110046",NA
"NR110047","NR110047",NA
"NR110048:250134786","NR110048","NR110048:250134786"
"NR110049","NR110049",NA
"NR110050","NR110050",NA
"NR110051","NR110051",NA
"NR110052:250134626","NR110052","NR110052:250134626"
"NR110053","NR110053",NA
"NR110054","NR110054",NA
"NR110055","NR110055",NA
"NR110056","NR110056",NA
"NR110057","NR110057",NA
"NR110058","NR110058",NA
"NR110059","NR110059",NA
"NR110060","NR110060",NA
"NR110061","NR110061",NA
"NR110062","NR110062",NA
"NR110063","NR110063",NA
"NR110064","NR110064",NA
"NR110065","NR110065",NA
"NR110066","NR110066",NA
"NR110067","NR110067",NA
"NR110068","NR110068",NA
"NR110069","NR110069",NA
"NR110070","NR110070",NA
"NR110071","NR110071",NA
"NR110072:250134733","NR110072","NR110072:250134733"
"NR110073","NR110073",NA
"NR110074","NR110074",NA
"NR110075","NR110075",NA
"NR110076","NR110076",NA
"NR110077:250164018","NR110077","NR110077:250164018"
"NR110078:250134711","NR110078","NR110078:250134711"
"NR110079:250134641","NR110079","NR110079:250134641"
"NR110080:250134710","NR110080","NR110080:250134710"
"NR110081:250134629","NR110081","NR110081:250134629"
"NR110082","NR110082",NA
"NR110083:250134640","NR110083","NR110083:250134640"
"NR110084:250134668","NR110084","NR110084:250134668"
"NR110085","NR110085",NA
"NR110086","NR110086",NA
"NR110087","NR110087",NA
"NR110088:250134648","NR110088","NR110088:250134648"
"NR110089","NR110089",NA
"NR110090","NR110090",NA
"NR110091","NR110091",NA
"NR110092:250134761","NR110092","NR110092:250134761"
"NR110093","NR110093",NA
"NR110094","NR110094",NA
"NR110095:250134518","NR110095","NR110095:250134518"
"NR110096","NR110096",NA
"NR110097","NR110097",NA
"NR110098","NR110098",NA
"NR110099","NR110099",NA
"NR110100","NR110100",NA
"NR110101","NR110101",NA
"NR110102","NR110102",NA
"NR110103","NR110103",NA
"NR110104:250134455","NR110104","NR110104:250134455"
"NR110105:250134636","NR110105","NR110105:250134636"
"NR110106:250134611","NR110106","NR110106:250134611"
"NR110108:250134759","NR110108","NR110108:250134759"
"NR110109:250134656","NR110109","NR110109:250134656"
"NR110110:250134604","NR110110","NR110110:250134604"
"NR110111","NR110111",NA
"NR110112:250134579","NR110112","NR110112:250134579"
"NR110113","NR110113",NA
"NR110114","NR110114",NA
"NR110115:250134610","NR110115","NR110115:250134610"
"NR110116","NR110116",NA
"NR110117","NR110117",NA
"NR110118:250134608","NR110118","NR110118:250134608"
"NR110119","NR110119",NA
"NR110120","NR110120",NA
"NR110121","NR110121",NA
"NR110122:250134713","NR110122","NR110122:250134713"
"NR110123","NR110123",NA
"NR110124","NR110124",NA
"NR110125","NR110125",NA
"NR110126:250134618","NR110126","NR110126:250134618"
"NR110127","NR110127",NA
"NR110128","NR110128",NA
"NR110130","NR110130",NA
"NR110131","NR110131",NA
"NR110132","NR110132",NA
"NR110133:250134633","NR110133","NR110133:250134633"
"NR110134","NR110134",NA
"NR110135","NR110135",NA
"NR110136","NR110136",NA
"NR110137","NR110137",NA
"NR110138","NR110138",NA
"NR110139","NR110139",NA
"NR110140","NR110140",NA
"NR110141:250134587","NR110141","NR110141:250134587"
"NR110142","NR110142",NA
"NR110143:250134594","NR110143","NR110143:250134594"
"NR110144","NR110144",NA
"NR110145:250134743","NR110145","NR110145:250134743"
"NR110146","NR110146",NA
"NR110147","NR110147",NA
"NR110148","NR110148",NA
"NR110149","NR110149",NA
"NR110150","NR110150",NA
"NR110151","NR110151",NA
"NR110152","NR110152",NA
"NR110153:250134578","NR110153","NR110153:250134578"
"NR110154","NR110154",NA
"NR110155","NR110155",NA
"NR110156","NR110156",NA
"NR110157","NR110157",NA
"NR110158:250134612","NR110158","NR110158:250134612"
"NR110159:250134486","NR110159","NR110159:250134486"
"NR110160:250134778","NR110160","NR110160:250134778"
"NR110161","NR110161",NA
"NR110162","NR110162",NA
"NR110163","NR110163",NA
"NR110164","NR110164",NA
"NR110165:250134470","NR110165","NR110165:250134470"
"NR110166:250134637","NR110166","NR110166:250134637"
"NR110167:250134620","NR110167","NR110167:250134620"
"NR110168:250134780","NR110168","NR110168:250134780"
"NR110169","NR110169",NA
"NR110170","NR110170",NA
"NR110171:250134580","NR110171","NR110171:250134580"
"NR110172","NR110172",NA
"NR110173","NR110173",NA
"NR110174","NR110174",NA
"NR110175","NR110175",NA
"NR110176:250134706","NR110176","NR110176:250134706"
"NR110177","NR110177",NA
"NR110178:250134592","NR110178","NR110178:250134592"
"NR110179:250134634","NR110179","NR110179:250134634"
"NR110180","NR110180",NA
"NR110181:250134771","NR110181","NR110181:250134771"
"NR110182","NR110182",NA
"NR110183:250134582","NR110183","NR110183:250134582"
"NR110184","NR110184",NA
"NR110185","NR110185",NA
"NR110186","NR110186",NA
"NR110187","NR110187",NA
"NR110188","NR110188",NA
"NR110189","NR110189",NA
"NR110190","NR110190",NA
"NR110191","NR110191",NA
"NR110192","NR110192",NA
"NR110193","NR110193",NA
"NR110194:250134666","NR110194","NR110194:250134666"
"NR110195","NR110195",NA
"NR110196","NR110196",NA
"NR110197","NR110197",NA
"NR110198","NR110198",NA
"NR110199","NR110199",NA
"NR110212:250134605","NR110212","NR110212:250134605"
"NR110213:250134789","NR110213","NR110213:250134789"
"NR110214:250134793","NR110214","NR110214:250134793"
"NR110215","NR110215",NA
"NR110216","NR110216",NA
"NR110217","NR110217",NA
"NR110218","NR110218",NA
"NR110219","NR110219",NA
"NR110220","NR110220",NA
"NR110221","NR110221",NA
"NR110222","NR110222",NA
"NR110223:250134654","NR110223","NR110223:250134654"
"NR110224","NR110224",NA
"NR110225","NR110225",NA
"NR110226","NR110226",NA
"NR110227","NR110227",NA
"NR110228","NR110228",NA
"NR110229","NR110229",NA
"NR110230","NR110230",NA
"NR110231","NR110231",NA
"NR110232:250134645","NR110232","NR110232:250134645"
"NR110233:250164006","NR110233","NR110233:250164006"
"NR110234","NR110234",NA
"NR110235","NR110235",NA
"NR110236","NR110236",NA
"NR110237:250134767","NR110237","NR110237:250134767"
"NR110238:250399918","NR110238","NR110238:250399918"
"NR110240","NR110240",NA
"NR110241","NR110241",NA
"NR110242","NR110242",NA
"NR110243","NR110243",NA
"NR110244","NR110244",NA
"NR110245","NR110245",NA
"NR110246","NR110246",NA
"NR110247","NR110247",NA
"NR110248","NR110248",NA
"NR110249","NR110249",NA
"NR110250","NR110250",NA
"NR110251","NR110251",NA
"NR110252","NR110252",NA
"NR110253","NR110253",NA
"NR110254","NR110254",NA
"NR110255:250134471","NR110255","NR110255:250134471"
"NR110256","NR110256",NA
"NR110257","NR110257",NA
"NR110258","NR110258",NA
"NR110259","NR110259",NA
"NR110260:250134753","NR110260","NR110260:250134753"
"NR110261","NR110261",NA
"NR110262","NR110262",NA
"NR110263","NR110263",NA
"NR110264","NR110264",NA
"NR110265:250134714","NR110265","NR110265:250134714"
"NR110266","NR110266",NA
"NR110267:250134652","NR110267","NR110267:250134652"
"NR110268","NR110268",NA
"NR110269","NR110269",NA
"NR110270:250134621","NR110270","NR110270:250134621"
"NR110271","NR110271",NA
"NR110272","NR110272",NA
"NR110273","NR110273",NA
"NR110274","NR110274",NA
"NR110275","NR110275",NA
"NR110276:250134613","NR110276","NR110276:250134613"
"NR110277","NR110277",NA
"NR110278","NR110278",NA
"NR110279","NR110279",NA
"NR110280","NR110280",NA
"NR110281","NR110281",NA
"NR110282:250134719","NR110282","NR110282:250134719"
"NR110283","NR110283",NA
"NR110284","NR110284",NA
"NR110285","NR110285",NA
"NR110286","NR110286",NA
"NR110287","NR110287",NA
"NR110288","NR110288",NA
"NR110289:250134797","NR110289","NR110289:250134797"
"NR110290:250134526","NR110290","NR110290:250134526"
"NR110291","NR110291",NA
"NR110292","NR110292",NA
"NR110293","NR110293",NA
"NR110294:250134712","NR110294","NR110294:250134712"
"NR110295:250134596","NR110295","NR110295:250134596"
"NR110296","NR110296",NA
"NR110297","NR110297",NA
"NR110298:250134729","NR110298","NR110298:250134729"
"NR110299","NR110299",NA
"NR110300","NR110300",NA
"NR110301:250134510","NR110301","NR110301:250134510"
"NR110302","NR110302",NA
"NR110303","NR110303",NA
"NR110304","NR110304",NA
"NR110305","NR110305",NA
"NR110306","NR110306",NA
"NR110307","NR110307",NA
"NR110308","NR110308",NA
"NR110309:250134542","NR110309","NR110309:250134542"
"NR110310","NR110310",NA
"NR110311","NR110311",NA
"NR110312:250134650","NR110312","NR110312:250134650"
"NR110313","NR110313",NA
"NR110314","NR110314",NA
"NR110315:250399924","NR110315","NR110315:250399924"
"NR110316:250134619","NR110316","NR110316:250134619"
"NR110317:250134777","NR110317","NR110317:250134777"
"NR110318","NR110318",NA
"NR110319","NR110319",NA
"NR110320:250134735","NR110320","NR110320:250134735"
"NR110321","NR110321",NA
"NR110322","NR110322",NA
"NR110323","NR110323",NA
"NR110324","NR110324",NA
"NR110325:250134478","NR110325","NR110325:250134478"
"NR110326","NR110326",NA
"NR110327:250134721","NR110327","NR110327:250134721"
